,country,lang,more,page,url,nav,title,date
0,阿富汗,zh,,相关新闻,https://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_676207/xgxw_676213/t1592439.shtml,首页_国家和组织_国家（地区）_亚洲_阿富汗_相关新闻_,外交部副部长孔铉佑会见阿富汗离任驻华大使莫萨扎伊(2018-09-06),2018-09-06
1,阿富汗,zh,,相关新闻,https://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_676207/xgxw_676213/t1567459.shtml,首页_国家和组织_国家（地区）_亚洲_阿富汗_相关新闻_,习近平会见阿富汗总统加尼(2018-06-10),2018-06-10
2,阿富汗,zh,,相关新闻,https://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_676207/xgxw_676213/t1563749.shtml,首页_国家和组织_国家（地区）_亚洲_阿富汗_相关新闻_,中国—阿富汗—巴基斯坦三方副外长级战略对话在北京举行(2018-05-30),2018-05-30
3,阿富汗,zh,,相关新闻,https://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_676207/xgxw_676213/t1563746.shtml,首页_国家和组织_国家（地区）_亚洲_阿富汗_相关新闻_,外交部部长助理张汉晖主持第四次中巴阿三方副外长级反恐安全磋商(2018-05-30),2018-05-30
4,阿富汗,zh,,相关新闻,https://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_676207/xgxw_676213/t1563396.shtml,首页_国家和组织_国家（地区）_亚洲_阿富汗_相关新闻_,中阿巴举行第三次三方务实合作对话(2018-05-29),2018-05-29
5,阿富汗,zh,,相关新闻,https://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_676207/xgxw_676213/t1560473.shtml,首页_国家和组织_国家（地区）_亚洲_阿富汗_相关新闻_,中俄印举行阿富汗问题副外长级磋商(2018-05-18),2018-05-18
6,阿富汗,zh,,相关新闻,https://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_676207/xgxw_676213/t1553286.shtml,首页_国家和组织_国家（地区）_亚洲_阿富汗_相关新闻_,王毅会见阿富汗总统国家安全顾问阿特马尔(2018-04-23),2018-04-23
7,阿富汗,zh,,相关新闻,https://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_676207/xgxw_676213/t1550879.shtml,首页_国家和组织_国家（地区）_亚洲_阿富汗_相关新闻_,外交部副部长乐玉成会见阿富汗巴达赫尚省长贝格扎德(2018-04-13),2018-04-13
8,阿富汗,zh,,相关新闻,https://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_676207/xgxw_676213/t1543643.shtml,首页_国家和组织_国家（地区）_亚洲_阿富汗_相关新闻_,外国领导人祝贺我新一届领导人(2018-03-20),2018-03-20
9,阿富汗,zh,,相关新闻,https://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_676207/xgxw_676213/t1522194.shtml,首页_国家和组织_国家（地区）_亚洲_阿富汗_相关新闻_,王毅：探讨中巴经济走廊以适当方式向阿富汗延伸(2017-12-26),2017-12-26
10,阿富汗,zh,,相关新闻,https://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_676207/xgxw_676213/t1522190.shtml,首页_国家和组织_国家（地区）_亚洲_阿富汗_相关新闻_,王毅：中阿巴三方外长对话不寻求代替现存机制(2017-12-26),2017-12-26
11,阿富汗,zh,,相关新闻,https://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_676207/xgxw_676213/t1522186.shtml,首页_国家和组织_国家（地区）_亚洲_阿富汗_相关新闻_,王毅：中方愿为阿巴关系改善发挥建设性作用(2017-12-26),2017-12-26
12,阿富汗,zh,,相关新闻,https://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_676207/xgxw_676213/t1522178.shtml,首页_国家和组织_国家（地区）_亚洲_阿富汗_相关新闻_,王毅谈首次中阿巴三方外长对话达成的八大共识(2017-12-26),2017-12-26
13,阿富汗,zh,,相关新闻,https://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_676207/xgxw_676213/t1522161.shtml,首页_国家和组织_国家（地区）_亚洲_阿富汗_相关新闻_,首次中国－阿富汗－巴基斯坦三方外长对话举行(2017-12-26),2017-12-26
